Text,Solving a communicative task,Text structure,Use of English (for emails),Overall_score
"Dear Alice, 

Thanks a ton for your recent email. I’m always excited to get messages from you. 

In your email you asked me about my room, I tidy up my room every week therefore my room don’t look like a bomb has exploded. Speaking of sort out, I do it every day when I return from school. As my speed cleaning tips, no,I don’t have ANY because I don’t need it, I always tidy up room when it look dirty.

By the way, tell me more about the new supermarket. When he opened? Did you wait when the supermarket open? How the supermarket look? 

That’s all for now. Write back soon! 

Best wishes, 

Damir 
",1.0,1.0,0.0,2
"Dear Nora, 

Thanks a ton for your recent email. Great to hear from you. 

In your email you ask me about my dream. Well, I can say that I have a lot of dreams, but my main dreams is to pass exams. Speaking of qualities, I have a patient, studios. I think that it is qualities important, because it is a long way. If I don’t have this I literally do nothing. As for tell my dreams to anyone, I tell, because it is not secretly information.

By the way, tell me more about your brother. How old is you? Where does he live +? How DOES your brother spend his free time?

Best wishes, 

Damir 
",1.0,2.0,0.0,3
"Dear Andy, 
 
  Thank you for your recent email. I was glad to hear from you again. 
 
  In your email you asked me about my friends and family. Well, I make new friends in the club. I try to speak with people that I like at first sight and look for something that we have in common. As for social media, I found some friends there. I think that online friends are also good as real ones. They also can support you in difficult times. 
 
  By the way, I want to ask you some questions about your sister’s wedding. Where this wedding will be located? How many people will attend this vacation? What main color of guest’s suits and dress will be there? 
 
  Sorry, I have to go for a walk with my dog now. Write back soon. 
 
  All the best, 
 
  Sveta",2.0,2.0,0.0,4
"Dear Andy,
 
 Thanks for your recent e-mail. I am always glad to get messages from you. 
 
 In your e-mail you asked me about making friends. Well, due to the fact that I am sociable extravert I am the one who makes the first move and just start discussing different topics with people as well as in real life and online. However, I used to think that it was impossible to make friends online, because all them were fake, yet I changed my mind when I found many intersting people on one application, with whom I have been friends untill this day. (3)
 
  By the way, tell me more your sister's wedding. Where will the ceremony take place? Who is your sister's fiance? Am I invited to the wedding? 
 
 It's all for now. Write back soon. 
 
 Sincerely,
 
 Kate",1.0,1.0,1.0,3
"Dear Andy,
Thank you for your recent e-mail. I'm always glad to get message from you.
In your e-mail you asked me about friends. As for me, I'm easy make new friends. Fortunately, I'm a outgoing person and socialise with a lot of acquaintance. So, Loffen understand that we are on the same wavelength. Honestly, I haven't never became friends on the net. In my opinion, online friends are not as good as real ones because you can't to have physical contact. Besides, you can't to know who is this person in real life.
By the way, tell me more about you sister's wedding. How many people were invated? Where will be the wedding? How much this party cost?
That's all for now. Looking forward to your answer!
Best wishes,
Nastya",2.0,2.0,0.0,4
"Dear Andy,
 
 Thanks a lot for your recent email. I'm always glad to get messages from you.
 
 You asked me about my friends. Well, usually I make new friends in drawing classes and dancing classes because most of my free time I spend there. But sometimes I make friends in the Internet. () I do it really rarely because I think that online friends are not as good as real ones. Online friends can't give you such support as your real friends because of the distance. They also can't hug you when you feel anxious and exhausted.
 
 By the way, tell me more about your sisters wedding. Where's the wedding? How many guests will be there? Will it be in summer?
 
 Sorry, I have to go now. Drop me a line. +
 
 Best wishes, +
 
 Alena",1.0,2.0,2.0,5
"Dear Andy,
 
  Thanks a lot for your recent email! I’m always happy to get messages from you.
 
  In your email you ask me about my тут напрашивается просто тема : friends ( friends. Well, often I make new friends in real life, especially at extracurricular activities at school ( Such way of making friends seems to me the simpliest and lets to learn a lot about people, so I’ve never become friends via social media. I don’t think that online friends aren’t as good as real ones but there are lots of scammers in social media, so users should be carefull with them ( . + 
 
  By the way, tel me more about your sister’s wedding. What will you give her? When will the wedding be? What is her husband like?
 
 1) 
 
  
 
  
 
 
 
  Sorry, I have to go now. Drop me a line.
 
  Best wishes,
 
  Arina",1.0,2.0,1.0,4
"Dear Andy,
 
 Thanks for your recent e-mail.I""m always glad to get messages from you.
 
 In your e-mail you asked me about friends.Well, i make friends easily, because i""m outgoing, sociable and talkative person. However, i did not made friends in social media. I think real friends more better than online, because freinds in real life can support you and walk with you.
 
 By the way, tell me more about your sister""s wedding. When it will be? Where it will be? It""s her first wedding or not?
 
 Thats all for now.Drop me a line.
 
 Best wishes,
 
 Diana
 
 вместо апострофа, ставила ковычки, тк не знаю как ставить это на ноутбуке ... надеюсь не будет считаться как ошибка",2.0,2.0,1.0,5
"Dear Andy, 
 
 Thanks for your recent e-mail.I'm always glad to get messages from you.
 
 In your recent e-mail you asked me about my friends. As for me, I usually look for new friends at youth forums and camps. In most cases I start to talk to other people first and ask them to tell something about themselves. Well, I became friends with two very interesting people via social media a few years ago and now we are pen-pals. In my opinion, both real and online friends are equally good, but live communication is much better for me. 
 
 By the way, tell me more about the wedding present for your sister. What have you bought for her ? Where have you found it ? How long did it take you to choose the present ? 
 
 Sorry, I have to go now. Drop me a line. 
 
 Best wishes, 
 
 Milana",2.0,2.0,2.0,6
"Dear Andy,
 
  Thank you for your recent email. I was very glad to hear from you again.
 
  Oh, it's great that you met some interesting people at an lecture on photography! As for me, I usually make new friends if we have similar interests. I can get acquainted with people at the interesting places such us museums, theaters, amusement parks. Moreover, I became friends via social media and it was a good experience. I think that online friends no worse than real ones because they can also always there be for you like real friends.
 
  Now I’d like to know more about your sister's wedding. When is your sister's wedding? Where is your sister's wedding held? How many people will be at your sister's wedding? 
 
  That's all for now. Hope to hear from you soon!
 
  All the best,
 
  Siranush",2.0,2.0,1.0,5
"Dear Andy,
 
 Thanks for your recent message. Im sorry, i havent answered earlier because i was busy at school.
 
 In your email message you asked me about friends. As for me, i have a lot of acquaintans and 2 close friends. We became friends at school. But sometimes i can meet new people at my dance club. Well, i also have some friends from Net. Theyre easy-going and we have a lot in common. Whats more, I think that online friends are like real ones, but far away. 
 
 By the way, i want to ask you some questions about you sisters wedding. When will it happen?How many people will there? Where will it situated? 
 
 Anyway, i have to go now because my mom is calling me.
 
 Hope to hear from you soon.
 
 Best wishes,
 
 Alina",2.0,2.0,0.0,4
"Dear Andy,
 
 Thanks for your e-mail! I'm glad to hear from you again. I hope you doing well.
 
 In your e-mail you asked me about making friends. Well, I usually make friends very spontaneously, without any introduction. We just stand next to each other and then start talking as if we were already friends. I have some friends online ether, but I prefer real chatting instead, because it is more humane. I can feel a person's mood and see his emotions, it seems important to me. 
 
 You've mentioned your sister's wedding. What style does she want to have her wedding in? How many guests did she and her groom invite? Has she already chosen her wedding dress?
 
 Sorry, i have to go now. Write back soon.
 
 Best wishes,
 
 Varya",2.0,2.0,1.0,5
"Dear Andy,
 Thanks for your message. I was very glad to hear from you.
 In your email you asked me about friendship. Well, I usually make friends with people who have similar interests. It is easier to socialize with them. Actually, I have never become friends via internet because I need eye contact. In my point of few, nothing compares to real friends and the atmosphere while spending time together.
 By the way, tell me more about your sister's wedding. When will the wedding take place? How many people are invited? Will it be a traditional wedding?
 That's all for now. Drop me a line.
 Best wishes,
 Maria",2.0,2.0,2.0,6
"Dear Andy,
 
  Thanks a lot for your recent email! I'm always happy to get messages from you. +
 
  In your email you asked me about friends. Well, I think I'm very talkative and easy-going so it's easy for me to make new friends. I usually try to start conversation with a person I've never seen before. You know, I've found friends in social media as I'm a constant member of the chats where students talk about their exams. So, there are many people I have a lot in common with. However, I understand that it's definitely important for friendship to have an opportunity to meet with each other and talk eye-to-eye...
 
  By the way, tell me more about your sister's wedding. Does it have a special dress-code? Will it be held outside or inside? When will it be held?
 
  That's all for now. Drop me a line.
 
  Write back ASAP.
 
  Best wishes,
 
  Polina",2.0,2.0,2.0,6
"Dear Andy,
Thanks a lot for your recent email. I'm always happy to get messages from you.
In your email you asked me about my friends and my friend-making skills, well, i don't make new friends on purpose because i like my close friends. also i have a lot of acquaintances. i have a large number of cases then i got acquainted in social media. this happens most often on instagram. well, i made a good friend on the internet. therefore i consider that online friends are as good as real friends. just you can't see him often and there is a great distance between you.
by the way, tell me more about sister's wedding. where will the wedding take place? how many guests will be on the wedding? do your sister have the big wedding or small?
sorry, i have to go now. drop me a line.
best wishes,
Kate",1.0,1.0,0.0,2
"Dear Andy, 
 
  Thanks a lot for your recent email! I'm always glad to get messages from you.
 
  In your letter you asked me about friends. Unfortunatelly, sometimes I'm too shy to make new friends. But I usually get acquanted with people in my school, because we take part in diffrent competitions. If we have a lot in common, we will become close friends. I think, it's easier to make new friends via social media. We get acquainted thanks to online courses. These girls are really supportive and trusting, but I prefer spending time with my real childhood friend, because we are always there for each other.
 
  By the way, tell me more about wedding present for your sister. Why did you buy it? What is it?Where did you buy it?
 
  Sorry, I need to go now. Drop me a line.
 
  Best wishes,
 
  Alla",0.0,2.0,1.0,3
"Dear Andy,
 
 Thank for your recent email. I'm always glad to get messages from you. +
 
 In your email you asked me about friendship. Well, I make new friends if we have something in common. I usually make new friends when I go somewhere, there I made a lot of friends, we had common interests. It seems to me that on social media you can also find friends. For example, l became friends with girl on social networks. Of course, sometimes online friends are not as good as real ones. And due to the fact that we cannot see each other live and communicate in reality. You can have a great time with both real and online friends.
 
 By the way, tell me more about your sister's wedding. When will your sister's wedding take place? Will the wedding be big or small? What will your sister's wedding style be?
 
 Thanks all for now.
 
 Best wishes, 
 
 Kate",2.0,1.0,0.0,3
"Dear Andy,
 
 Thanks fo your resent email. I'm always glad to get messages from you.
 
 In your email you asked me some questions about friends. Well, I make friends when I start to attend new groups or interesting events. Moreover, I can meet new friends in social media. For example, I met my friend Nastya in Telegram, and now we have good relationship. In my opinion, online friends as great as real because you can also share with them your emotions, ask for a help and get it, but in online form.
 
 By the way, tell me more about your sister's wedding. Where will the event be? How many guests does your sister have? Will they have fireworks on the wedding?
 
 Sorry, I have to go now. Write back soon.
 
 Best wishes,
 
 Alena",1.0,2.0,0.0,3
"Dear Andy,
 
 Thanks for your last email. It was great to hear from you again.
 
 In your email you brought up the topic of friendship. Э Well, I always make friends with people I share the common interests with. It usually someone I've got acquainted with during a school project, my deskmates or maybe person I've met occasionally at some event. By the way, I've never become friends with someone via social media. But I'm sure that online friends are the same good as real ones -> They can support you through the internet no matter how far are you located from each other.
 
 Besides , you mentioned your sister's wedding. When will the wedding take place? Will it be in your town? Is there going to be any special theme of the wedding?+
 
 Sorry, I need to go now. Keep in contact. 
 
 Best wishes,
 
 Adriana",2.0,2.0,1.0,5
"Dear Andy,+
 Thanks for your email. I hope you are doing well. +
 In your email you ask me about friends.+
 Well, I often make new friends at school and different events. +To tell the truth, I struke up with a girl via social media last week. I have few friends in the Internet. +/- In my opinion, online friends is really good because they are very cheerful, good-natured and patient as close friend.+
 Anyway you mentioned a wedding present. Is this present big or small?
 How much this present costs? Who packed the gift?
 Now I finish my email, I must help my parents
 Write back soon.
 Love,+
 Svetlana+",1.0,0.0,1.0,2
"Dear Andy,
 
 Thanks a lot for your recent email. I'm always happy to get messages from you. +
 
 In your email you asked me about friendship. Well, I usually make new friends at some activities because we can have a lot in common. I have become friends with a lot of unique people via social media. For example, we still keep in contact and share interesting life events. For me, online friends can be more reliable than the real one. In fact, good friends can always be found everywhere. +++
 
 By the way, tell me about your sister's wedding. When is the wedding?(or When will the wedding be? idk how right) How many people will be at the wedding? What types of food will be at her wedding? +++
 
 That's all for now. Drop me a line.
 
 All the best,
 
 Katya
 
 ~132 words (I hope I wrote this letter better than the last one ^^) But I'm still confused about questions...",2.0,2.0,2.0,6
"Dear Andy,
Thanks a lot for your email! I'm always glad to receive new messages from you.
In your letter you asked me about making new friends. Well, I like to visit different master-classes and I often find new friends there. As for online friendship, I had an online friend before, but we lost a contact. I think that online friends aren't as good as real ones, cause when you can't communicate with them personally you can't understand each other for an hundred percent.
By the way, I want to ask about your sister's wedding. Where would it be? When would it be? How many people would be on the wedding?
That's all for now. Drop me a line.
Best wishes,
Nastya",1.0,2.0,1.0,4
"Dear Andy,
 
 Thank you for your recent email. I'm always glad to get messages from you.
 
 In your email you asked me about my friends. Well, I usually make new friends at different events. For example, I have recently met a friend at a volunteer event, her name is Olya. Sometimes I communicate via social media, but it isn't easy for me to keep in touch because I love face-to face dialogue more. When it comes to online friends or real ones as for me real friends are better because I can meet them at any moment. 
 
 By the way, tell me more about your sister's wedding. How long is the wedding going to be? Is the wedding expensive? Where is it going to be?
 
 That's all for now. Drop me a line.
 
 Best wishes,
 
 Snezhana
 
 
 
 (пыталась убрать повторы с friend но не получилось)",2.0,2.0,2.0,6
"Dear Andy,
 
  Thanks a lot for your recent email. I'm always happy to get messages from you. 
 
  In your email you asked me about friends. Well, I often just go to people in lectures or forums and I get acquainted with them. As for me, I have two friends via social media. We have been communicating with each other for about a year. In my opinion, online friends are not as good as real ones because you can't know what a person is really like as you see your friend through a screen. I think that live communication is very important.
 
  By the way, tell me more about your sister's wedding. How many guests will be at the weeding? When is the weeding? What style will the weeding be in?
 
  Sorry, I have to go now. Write back soon.
 
  Best wishes, 
 
  Anastasia",2.0,1.0,2.0,5
"Dear Andy, 
 
 Thanks for your recent e-mail. I'm always glad to get messages from you.
 
 In your e-mail you asked me about my friends. To tell the truth, it's not hard for me to make new friends. If it seems to me that some person can become my friend, I can talk to him without any embarrassments. I also have become friends with a girl via social media and we still keep in touch. I also believe that distance doesn't define friendship. If you and a person have a lot in common, he or she can be your good online friend.
 
 By the way, tell me more about your sister's wedding. Where will it take place? When will it take place? How many guests will be at the wedding?
 
 Thats all for now. Drop me a line.
 
 Best wishes,
 
 Lera",2.0,1.0,1.0,4
"Dear Andy, 
Thanks for your recent email! I'm always glad to get messages from you. In your email il you asked me about friendship. In Frankly speaking, I'm very sociable person, I can easily strike up a friendship with anyone. Usually I make friends at school. However, I have a lot of via-friends: Personally, I think that online friends are not as good as real ones, because you don't see them in real life, it's
really difficult to get close to them and become true friends
By the way, when is your sister's wedding? How many guests will be there? Where will be your sister's wedding?
I'm sorry about to stop writing, it's high time
Best wishes,
Arina",2.0,2.0,1.0,5
"Dear Ronny,
 
  Thanks for your recent e-mail. I'm always glad to get messages from you.
 
  In your e-mail you asked me about friends. Well, I often begin interesting conversation with people on different events and make new friends this way. I became friends with brazilian via social media. I think that online friends are good such as real ones, because you and your online friends also can support each other and share common interests.
 
  By the way, tell me more about your sister's wedding. How many people will be attend at the wedding? Will married couple have a wedding treep? Will yor sister have a short or a long wedding dress?
 
  That's all for now. Drop me a line.
 
  Best wishes,
 
  Ulyana",2.0,2.0,2.0,6
"Dear Andy, +
 
 Thanks for your recent email. I'm always glad to get messages from you.+
 
 In your email you asked me about friends.+ Well, I strike up friendship through interest-based activities. Long ago I went to my sister's birthday party and met an easy-going Masha there. Now we are on the same wavelength. Unfortunately, she lives far away from me, that's why we socialise with each other via social media.+ Besides, I don't often make friends online because it's not convenient for me. - I think, it's almost impossible to cement and develop friendship being in different cities or even countries. The main disadvantage of online friends is a probability the acquaintance will not be what them seemed.+/-
 
 By the way, tell me about your wedding present. What does it look like? How much did it cost? And what shape is your gift?
 
 Sorry, I have to go now. Drop me a line.+
 
 Yours,+
 
 Tserena +",1.0,2.0,2.0,5
"Dear Andy, +
 
 Thanks a lot for your recent email. It's always nice to hear from you. +
 
 In your email you asked me about my friends +. Well, I take part in various olimpiads and international competitions, which allows me to make new friends all over the world. Moreover, I've become friends with a lot of people via social media and we still keep in touch with each other +. Actially, I think that online friends are as good as real ones. These are the same people we communicate and share interests with. Sometimes it is online friends who stay with us in ups and downs. (красивооо)))
 
 Be the way, tell me more about your sister's wedding. How many guests will there be? Will it be a vintage style wedding or a minimalist one? Will there be a dress code for your sister's guests? + (Where will it take place?)
 
 That's all for now. Hope to hear from you soon. +
 
 Best wishes, +
 
 Nastya +",2.0,2.0,1.0,5
"Dear Andy, +
 
 Thanks for your recent e-mail. I`m always glad to get messages from you. +
 
 In your e-mail you asked me about making new friends +. To be honest, I have a small circle of friends, so I rarely strike up friendships. I made friends at school. However, once I developed friendship with an online friend. Now it`s one of my closest friends. + Of course, the disadvantage of friendship via social media is distance. But I tend to think, that online friends are as good as real ones because friendship depends more on people`s interests and qualities. +
 
 By the way, tell me more about your wedding present for your sister. What wedding present did you buy? Why did you choose this wedding present? How much did a wedding present cost? (-)
 
 That`s all for now. Drop me a line. +
 
 All the best, +
 
 Polina +",1.0,2.0,2.0,5
"Dear Andy,
 
 Thanks for your recent e-mail. It's always great to hear from you.
 
 Let me answer the questions you asked in your message. Well, I usually do make friends on purpose, by getting acquainted with people, who share the same interests, in some local clubs and communities. As for your second question, I've met my best friend on the Internet, by virtue of social media. Lastly, I don't make a difference and draw a line between my real-life and online-friends because all of them are supportive, loyal and kind-hearted.
 
 By the way, you've mentioned the wedding present you bought for your sister. How much did it cost? How does it look like? Are there any special features of this gift that made you choose it?
 
 Sorry, I have to go now. My Dad asked me to do the vacuum-cleaning. Drop me a line.
 
 Best wishes,
 
 Rimma",2.0,2.0,2.0,6
"Dear Andy, 
 
 Thanks for your e-mail. I am very happy to hear you again.
 
 In your e-mail you asked me how I make new friends. All of my close friends I met in school, now I also make new friends here. Last year I become friend with a girl via social media, and it was bad experiense. So, I think, real friends it is better than online.
 
 By the way, in your e-mail you told me about present for your sister's wedding, and I have some questions about that. When you bought the present? The present was expensive or not? What color is this present?
 
 Sorry, I have to go now. Drop me a line.
 
 Best wishes, 
 
 Irina",2.0,2.0,0.0,4
"Dear Andy,
 
 Thank you for your e-mail message. I hope you`re doing well.
 
 In your e-mail you asked me about making new friends. Well, I make new friends in places which I attend frequently such as school or courses. As for friends via social media, I have just one online friend. We get acquainted because both of us need a study-buddy. Then we understood that we have a lot in common, and we became close friends. + Because of this situation, I think that online friends are as good as real ones. We have similar interests, and a distance doesn`t bother us. +
 
 By the way, tell me more about your sister’s wedding. + When will the wedding be? Where will the wedding be? Will the wedding be big or just for close friends and family?
 
 That’s all for now. Hope to hear from you soon.
 
 Best wishes,
 
 
 
 Masha",2.0,2.0,1.0,5
"Dear Andy, +
 
 Thanks for your email. I was very glad to hear from you.+
 
 In your email you ask me about friends. Well, I’m an easy-going and sociable person so I easily strike up a friendship. Moreover, I often attend different events and get acquainted with interesting people there.+ As for social media, I’ve some online friends and chat with them every day.+/- I reckon that online friends are even better than real ones as you can constantly keep in contact with them. +
 
 
 
 By the way, tell me more about your sister’s wedding.When is the wedding? + Will there be in outdoor or indoor? +What activities are planning there? +
 
 
 
 That’s all for now. Drop me a line. +
 
 Best wishes, +
 
 Kseniya+",2.0,2.0,2.0,6
"Dear Andy,
 
 Thanks for your recent email. I'm always glad to get messages from you.
 
 In your email you asked me about my new friends.Well, I don't have any new friends because I only go to school.Besides, I make friends via social media thanks to my online courses .As for friends, I believe that friends in life are more important than online ones because sometimes a person needs physical support but I know many situation when online friends became the best friend in life.
 
 By the way,tell me more about your sister's wedding. When is your sister's wedding? What is the dress code for her wedding? Does wedding held in nature or building?
 
 That's all for now. Drop me a line. 
 
 Best wishes,
 
 Rusya",2.0,2.0,1.0,5
"Dear Andy,
 
  Thanks a lot for your recent email! I'm always happy to get messages from you. +
 
  In your email you asked me about friends and friendship. Well, I haven't got any problems with striking up friendship. I always just start talking to people I want to become friends and call them for a walk. As for social media, I have experience of making friends via social media and it was nice. And I don't think that online friends are not as good as real ones. I've a close friend who I met on the Internet. We have lots in common and keep in contact for more than five years. 
 
  By the way, tell me more about your sister's wedding. When will it be? Will it be in the restaurant or in the cafe? How many guests will be on this celebration?
 
  Sorry, I have to go now. Drop me a line.
 
  Love,
 
  Katya",2.0,2.0,1.0,5
"Dear Andy,
 
 Thank you for your message. I'm always happy to hear from you.
 
 In your email you've asked me about making friends. I guess I make friends easily because I'm rather sociable person. As for online friends, I have one friend from Moscow and we met each other 2 years ago in social media. Actually, I think that online friends can be as good as real ones but it will be hard to always keep in contact.
 
 By the way, tell me more about your sister's wedding. When will it be? Where will it be arranged? How many guests there will be?
 
 Sorry, I have to go now. Write me back soon.
 
 Best wishes,
 
 Vika",2.0,2.0,2.0,6
"Dear Andy,+
 
 Thanks for your email. I was very glad to hear from you again.+
 
 In your email you asked me about me and my friends. Well, I am fine! Speaking about my friends, I very seldom make a new friends, because it is really hard for me. I socialise with people, who has a lot in common with me. +/-Unexpectedly for me, I have a girlfriend in the social media. We keep in contact for 3 years. +/-I think, that online friends and real friends are the same, because all people want to communicate with each other. +/-
 
 By the way, I'd like to know more about a wedding present for your sister. Where did you buy a gift? - What did you buy for your sister? -What is the price of the present?-
 
 Well, I need to go now, as I have got lots of homework to do.
 
 Best wishes,+
 
 Sasha+",0.0,1.0,1.0,2
"Dear Andy,
 
 
 
 Thanks for your email.I’m always glad to get a message from you.
 
 
 
 In your email you asked me about friends.Well,I’m a very gregarious person and I love being surrounded by people and that’s why I usually make friends in real life.Actually,I’ve never had online friends because I assume it’s hard to strike up a friendship through the Internet.I can’t claim that online friends are worse but I love meeting in person and want them to always be there for me,so real ones are better for me.
 
 
 
 By the way,tell me more about your sister’s wedding.When is the wedding?Where will it be held?How many people are invited?
 
 
 
 That’s all for now.Drop me a line.
 
 
 
 With love,
 
 Polina",2.0,2.0,2.0,6
"Dear Andy,
  Thanks for your recent e-mail. I’m always glad to get messages from you. 
  In your e-mail you asked me about friendship. Well, I usually make new friends if we have similar interests and have a lot in common. In addition, I’ve become friends with a lot of wonderful people via social media. We’re on the same wavelength. I don't think online friends aren't as good as real ones. Despite the fact that there’re differences in the ways of communicating with online friends compared to real-life friends, online friendship can provide support, understanding and love.
  By the way, tell me more about your sister’s wedding. Where will it take place? How long will it last? Will it be a modest wedding or a lavish one?
  That’s all for now. Drop me a line.
  Best wishes,
  Lilia",2.0,2.0,2.0,6
"Dear Andy, 
 
 Thank you for your recent email. I was very glad to hear from you again!
 
 Now I’m ready to answer your questions. Well, I’m not sociable with strangers so it’s hard for me to make new friends. I usually start conversation with things we obviously have in common to be on the same wavelength. However, I used to write people first on social media. With some of these people I have struck up a friendship and we are still friends. In my opinion, sometimes online friends may be more interesting friends with who you have deeper connection than with people in real life.
 
 By the way, I’d like to ask you some questions about your sister’s wedding. What is the date of the wedding ? Will there be only immediate family? How long will the ceremony last?
 
 I guess, that’s all for now. Drop me a line! 
 
 Best wishes, 
 
 Kate",2.0,2.0,1.0,5
"Dear Andy, 
 
 Thank you for your email message. I hope you're doing well.
 
 In your email you asked me about friends. Well, I uasually make new friends at school. We get acquainted at different events. As for me, I have become friends with someone via social media once. I still keep in touch with my Internet friend. To my mind, online friends are as good as real ones for many reasons. Online friends can support each other, have fun together and discuss absolutely everything, so they are as wonderful as real ones.
 
 By the way, tell me more about your sister's wedding. Where the wedding will be held? How many guests are invited? What is the style of decorations on the wedding?
 
 That's all for now. Drop me a line.
 
 Best wishes, 
 
 Sofa",2.0,1.0,2.0,5
"Dear Andy,
 
 Thanks for your recent email. I`m happy to hear from you again.
 
 In your message you asked me about how I make friends. Frankly speaking, it`s hard for me to strike up the friendship. I feel really nervous when I have to talk with new people. However, It`s much easier for me to start friendship via social media. I have a lot of online friends. And I think that online friends are even better than real ones, because you can speak with them no matter what time is it.
 
 By the way, you wrote me about your sister`s wedding. Will the wedding take place at the weekend or on weekdays? Where will this wedding be? For how long will it last?
 
 That`s all for now. Write back soon.
 
 Best wishes,
 
 Dasha",2.0,2.0,0.0,4
"Dear Andy, +
 
 Thanks for your email.I always glad to get messages from you. +
 
 In your email you asked me about friends .Well, I adore visiting new places travelling around the world .So I usually make new friends during my trips. (+/-) Actually,I haven't ever become friends with someone via social media +. I reckon it isn't for me becouse i prefer socializing in the real life . According to my expirience i can't be sure that online friends are not as good as real ones, but i guess that real friends are more reliable and loyal than online ones. +
 
 By the way,tell me more about your sister's wedding .Where the wedding will be celebrated ?How many guests are invited to the wedding? When the wedding will be сelebrated ?
 
 That's all for now.Drop me a line . +
 
 Lots of love, +
 
 Sonya +",2.0,1.0,1.0,4
"Dear Andy, +
 
 
 
 Thanks for your recent email. I’m always glad to get messages from you. +
 
 
 
 In your email, you asked me about my friends. Actually, I have a wide circle of friends. Well, I strike up friendship easily. For instance, I meet them at online school for training for exams because we have a lot of common. In fact, I’ve become friends via social media but more I like making real life friends. In my opinion, online friends are not as good as real ones because it’s very difficult to know each other online.
 
 
 
 By the way, tell me more about your sister's wedding. When will the wedding? How many people will? Where will the wedding?
 
 
 
 That's all for now. Drop me a line. +
 
 
 
 All the best, +
 
 
 
 Kamilla +",1.0,1.0,0.0,2
"Dear Andy,
 
 Thanks a lot for your recent email! I'm always happy to get messages from you.
 
 In your email you ask me about how I make friends. Well, I really like make friends, because I'm a very self-confident girl. I always make friends at school, because I spend most of my time there. I have an online dirlfriend. We met on instagram. I think that online friends are just as good as real friends.
 
 By the way, tell me more about sister's wedding. What do you want to give your sister for a wedding?How much is your present for your sister? Where will be the wedding take place? 
 
 Sorry, I have to go now. Drop me a line.
 
 Best wishes,
 
 Valya",1.0,2.0,1.0,4
"Dear Andy,
 
 Thanks a lot for your recent email. I'm always glad to get messages from you. 
 
 In your email you asked me about friends. Honestly, I usually make friends without a second thought. If I'm interested in a person, I'll do my utmost to strike up with him. Well, I've become friends with one girl via social media. We always help each other. She's one of my closest friends. Relying on my own experience, I'm sure online friends can be as good as real ones. They can support you online. Moreover, nowadays online friends can become lifelong friends without personal contact. 
 
 By the way, tell me more about your sister's wedding. When is the wedding? Where will be your sister's wedding outside or inside? Is there a special style at the wedding? 
 
 Sorry, I have to go. Drop me a line. 
 
 Best wishes, 
 
 Kate",2.0,2.0,1.0,5
"Dear Andy, 
 
 Thanks for your recent email and sorry for the long silence. I'm glad to hear from you again. 
 
 In your email you asked me about friends. Well, I usually make friends with people who share the same passion for music, literature and learning languages as I do. As for making friends via social media, I can say that I have many wonderful friends online. I believe these friends are just as good as real friends because they are attentive, caring, empathetic and always ready to support me when I need it. 
 
 By the way, tell me about your sister's wedding. When is it going to be? How many people are invited? Will it be a traditional wedding ceremony? 
 
 Anyway, I have to go to finish my homework. Write back soon. 
 
 Best wishes, 
 
 Lada",2.0,2.0,2.0,6
"Dear Andy, +
 
 Thank you for your recent email +. I'm always glad to get messages from you. +
 
 In your email you asked me to tell you about friends. Well, I am a very humble person, that's why I rarely make new friends. However, if I want to get acquainted with new people, I can do it via social media. So I struck up a friendship with my best friend. In my opinion, online friends are as good as real ones but the most important thing is regularity in communication. 
 
 By the way, tell me more about your sister's wedding +. What style will your sister's wedding be in? Where will the wedding take place? + What kind of activities will be available? 
 
 I’ve got to go now. Write back soon. +
 
 Best wishes, +
 
 Kate +",2.0,1.0,2.0,5
"Dear Andy,
 
 Thanks for your recent email. I'm always glad to get messages from you.
 
 In your email you asked me about friendship. Well, it's always easy for me to strike up a friendship as I'm very outgoing and gregarious. Most often I make friends at school events. We just work in a group and communicate, after which we exchange our contacts and start chatting. I have to add - that I also have become friends with many people via social media and, in my humble opinion - , online friends are as good as real ones. 
 
 By the way, tell me more about your sister's wedding. Where will the wedding be? How many guests will come to your sister's wedding? Is there a special dress code for the wedding?
 
 That's all for now. Drop me a line.
 
 Best wishes,
 
 Mary",2.0,2.0,2.0,6
"Dear Andy,
 
 Thank you for your recent email. I'm always glad to get messages from you.
 
  In your email you asked me about friends. Well, I make friends at school. Frankly speaking, it’s easy for me to develop a friendship with someone. Also, I have a wide circle of online friends, so I’ve always become a friend on social media. However, I think that online friends are not as good as real ones because I can’t meet them and I can’t feeling and share their emotions in real life.
 
  By the way, where will be a sister’s wedding? What date will your sister's wedding be? How many guests will be at this wedding?
 
  That’s all for now. Drop me a line.
 
  Best wishes,
 
  Lesya",1.0,1.0,1.0,3
